"num";"status"
8991918;"under way using engine"
6260535;" not defined = default (also used by AIS-SART under test)"
1039810;" moored"
1013596;" engaged in fishing"
391680;" restricted manoeuvrability"
179548;" at anchor"
95417;" reserved for future amendment of navigational status for ships carrying DG, HS, or MP, or IMO hazard or pollutant category C, high speed craft (HSC)"
72165;" under way sailing"
23430;" not under command"
14955;" aground"
819;" reserved for future use"
138;" reserved for future amendment of navigational status for ships carrying dangerous goods (DG), harmful substances (HS) or marine pollutants (MP), or IMO hazard or pollutant category A, wing in grand (WIG)"
104;" constrained by her draught"
