"count";"status";"ais_type_summary"
2055;" aground";"Fishing"
12584;" aground";"Other"
316;" aground";"Passenger"
72556;" at anchor";"Cargo"
105;" at anchor";"Fishing"
3472;" at anchor";"Other"
9;" at anchor";"Passenger"
1187;" at anchor";"Sailing Vessel"
24004;" at anchor";"Search and Rescue"
5914;" at anchor";"Special Craft"
63864;" at anchor";"Tanker"
47588;" at anchor";"Tug"
4;" constrained by her draught";"Cargo"
69;" constrained by her draught";"Passenger"
29;" constrained by her draught";"Tanker"
920271;" engaged in fishing";"Fishing"
84099;" engaged in fishing";"Other"
272745;" moored";"Cargo"
25688;" moored";"Fishing"
8;" moored";"High-Speed Craft"
65772;" moored";"Other"
302286;" moored";"Passenger"
3381;" moored";"Pleasure Craft"
13013;" moored";"Sailing Vessel"
160363;" moored";"Search and Rescue"
162691;" moored";"Special Craft"
78014;" moored";"Tanker"
98036;" moored";"Tug"
17;" not defined = default (also used by AIS-SART under test)";"Cargo"
1291723;" not defined = default (also used by AIS-SART under test)";"Fishing"
91672;" not defined = default (also used by AIS-SART under test)";"Other"
2558269;" not defined = default (also used by AIS-SART under test)";"Passenger"
172;" not defined = default (also used by AIS-SART under test)";"Sailing Vessel"
920631;" not defined = default (also used by AIS-SART under test)";"Search and Rescue"
931986;" not defined = default (also used by AIS-SART under test)";"Special Craft"
1266;" not defined = default (also used by AIS-SART under test)";"Tanker"
1507;" not defined = default (also used by AIS-SART under test)";"Tug"
78;" not defined = default (also used by AIS-SART under test)";"Wing in Grnd"
2657;" not under command";"Cargo"
2164;" not under command";"Fishing"
1;" not under command";"Passenger"
16406;" not under command";"Sailing Vessel"
1392;" not under command";"Tanker"
138;" reserved for future amendment of navigational status for ships carrying dangerous goods (DG), harmful substances (HS) or marine pollutants (MP), or IMO hazard or pollutant category A, wing in grand (WIG)";"Fishing"
7766;" reserved for future amendment of navigational status for ships carrying DG, HS, or MP, or IMO hazard or pollutant category C, high speed craft (HSC)";"Fishing"
13;" reserved for future amendment of navigational status for ships carrying DG, HS, or MP, or IMO hazard or pollutant category C, high speed craft (HSC)";"High-Speed Craft"
87624;" reserved for future amendment of navigational status for ships carrying DG, HS, or MP, or IMO hazard or pollutant category C, high speed craft (HSC)";"Passenger"
87624;" reserved for future amendment of navigational status for ships carrying DG, HS, or MP, or IMO hazard or pollutant category C, high speed craft (HSC)";"Pleasure Craft"
807;" reserved for future use";"Tug"
67721;" restricted manoeuvrability";"Cargo"
37094;" restricted manoeuvrability";"Fishing"
40292;" restricted manoeuvrability";"Other"
1;" restricted manoeuvrability";"Pleasure Craft"
84700;" restricted manoeuvrability";"Search and Rescue"
8791;" restricted manoeuvrability";"Special Craft"
32;" restricted manoeuvrability";"Tanker"
88531;" restricted manoeuvrability";"Tug"
5185;" under way sailing";"Cargo"
6395;" under way sailing";"Fishing"
146;" under way sailing";"Other"
36114;" under way sailing";"Sailing Vessel"
8230;" under way sailing";"Search and Rescue"
187;" under way sailing";"Special Craft"
2243;" under way sailing";"Tanker"
8008;" under way sailing";"Tug"
1756199;"under way using engine";"Cargo"
750037;"under way using engine";"Fishing"
7211;"under way using engine";"High-Speed Craft"
753998;"under way using engine";"Other"
2249529;"under way using engine";"Passenger"
30974;"under way using engine";"Pleasure Craft"
5754;"under way using engine";"Sailing Vessel"
421998;"under way using engine";"Search and Rescue"
962725;"under way using engine";"Special Craft"
1045276;"under way using engine";"Tanker"
1397190;"under way using engine";"Tug"
6;"under way using engine";"Wing in Grnd"
